SpielTyp;Spielstatus;Bezeichnung;Spielnummer;TagKurz;Spieldatum;Spielzeit;Teamname A;TeamLiga A;Vereinsnummer A;Teamname B;TeamLiga B;Vereinsnummer B;Spielort;Sportanlage;Ort;Wettspielfeld;
"Meisterschaft";"";"Junioren D-7 / MFV - Herbstrunde / Gruppe  5";"137578";"Sa";"31.10.2026";"12:00";"SC Ittigen b";"Jun.D-7";"10335";"C.F. España";"Jun.D-7";"10336";"Hubelgut, Worblaufen - Hauptplatz";"Hubelgut";"Worblaufen";"Hauptplatz";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128479";"Sa";"27.03.2027";"";"SC Thörishaus a";"5.";"10381";"C.F. España";"5.";"10336";"Stucki, Thörishaus - Hauptplatz";"Stucki";"Thörishaus";"Hauptplatz";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126115";"Sa";"27.03.2027";"19:00";"FC Bern 1894";"4.";"10302";"C.F. España";"4.";"10336";"Stadion Neufeld, Bern - Kunstrasenfeld Neufeld 2";"Stadion Neufeld";"Bern";"Kunstrasenfeld Neufeld 2";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126121";"So";"04.04.2027";"11:00";"C.F. España";"4.";"10336";"FC Schwarzenburg";"4.";"10322";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128484";"So";"04.04.2027";"13:00";"C.F. España";"5.";"10336";"FC Ticino Bern";"5.";"10325";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127287";"Fr";"09.04.2027";"19:30";"SC Holligen 94";"Sen.30+";"10318";"C.F. España / Italiana";"Sen.30+";"10336";"Steigerhubel, Bern - Fussballfeld Steigerhubel 1";"Steigerhubel";"Bern";"Fussballfeld Steigerhubel 1";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126126";"So";"11.04.2027";"";"FC Zollikofen a";"4.";"10331";"C.F. España";"4.";"10336";"Schulanlage Geisshubel, Zollikofen - Gemeindesportplatz";"Schulanlage Geisshubel";"Zollikofen";"Gemeindesportplatz";
"Meisterschaft";"";"5. Liga / Gruppe  3";"128488";"So";"11.04.2027";"13:30";"FC Wyler Bern";"5.";"10308";"C.F. España";"5.";"10336";"Wyler, Bern - Kunstrasenfeld Wyler";"Wyler";"Bern";"Kunstrasenfeld Wyler";
"Meisterschaft";"";"Senioren 40+ / MFV / Gruppe  2";"127358";"Mo";"12.04.2027";"19:30";"C.F. España / Italiana";"Sen.40+";"10336";"SC Worb";"Sen.40+";"10328";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"Senioren 30+ / MFV / Gruppe  3";"127291";"Mo";"12.04.2027";"19:30";"C.F. España / Italiana";"Sen.30+";"10336";"FC Sternenberg";"Sen.30+";"10397";"Weissenstein, Bern - Fussballfeld Weissenstein 1";"Weissenstein";"Bern";"Fussballfeld Weissenstein 1";
"Meisterschaft";"";"4. Liga / Gruppe  3";"126134";"So";"18.04.2027";"11:00";"C.F. España";"4.";"10336";"FC Sternenberg a";"4.";"10397";"Weissenstein, Bern - Fussballfeld Weissenstein 3";"Weissenstein";"Bern";"Fussballfeld Weissenstein 3";
